full-name,Age,email,phone,district,taluka,landsize,address,latitude,longitude,other-info
Ahana  Cheema,45,zetgi58@gmail.com,6774960056,Buldana,Deolgaon Raja,2,"Deolgaon Raja , Maharashtra",20.01841,76.04156,
Ishita Joshi,32,mzley40@gmail.com,2845403775,Buldana,Sindkhed Raja,6,"Sindkhed Raja , Maharashtra",19.95673,76.12514,
Sumer Randhawa,38,siqfu59@gmail.com,6346849644,Buldana,Lonar,7,"Lonar , Maharashtra",19.98453,76.52326,
Inaaya  Kade,31,tvoww28@gmail.com,911640000000,Chandrapur,Warora,8,"Warora , Maharashtra",20.2346,79.01274,
Riya Kurian,40,bntam26@gmail.com,918239000000,Chandrapur,Chimur,4,"Chimur , Maharashtra",20.49763,79.3763,
Urvi Devan,49,cwwef40@gmail.com,5916581423,Chandrapur,Nagbhir,5,"Nagbhir , Maharashtra",20.58252,79.69078,
Gatik Lad,51,csibo33@gmail.com,6230352856,Chandrapur,Brahmapuri,6,"Brahmapuri , Maharashtra",20.61105,79.8558,
Jhanvi Sani,40,xxjia52@gmail.com,6778560306,Chandrapur,Sawali,2,"Sawali , Maharashtra",20.1966,79.83021,
Amira Bhatia,27,yngla31@gmail.com,1796133262,Chandrapur,Sindewahi,6,"Sindewahi , Maharashtra",20.29195,79.66029,
Zaina Kant,38,fhxlp60@gmail.com,9183636350,Chandrapur,Bhadravati,2,"Bhadravati , Maharashtra",20.10517,79.11301,
Indrajit Zachariah,30,yhcyn35@gmail.com,8206885712,Chandrapur,Chandrapur,4,"Chandrapur , Maharashtra",19.96652,79.29677,
Faiyaz Sabharwal,35,ngwqj56@gmail.com,9274016967,Chandrapur,Mul,7,"Mul , Maharashtra",20.06378,79.67164,
Vardaniya Som,35,rmhob53@gmail.com,238652305,Chandrapur,Pombhurna,4,"Pombhurna , Maharashtra",19.87703,79.63498,
Aarush Sarna,59,betft34@gmail.com,5368580490,Chandrapur,Ballarpur,3,"Ballarpur , Maharashtra",19.84912,79.35181,
Uthkarsh Sarkar,47,kewlx52@gmail.com,8955156558,Chandrapur,Korpana,7,"Korpana , Maharashtra",19.74514,78.98852,
Neysa Bhatia,31,dtade31@gmail.com,9188005915,Chandrapur,Jiwati,6,"Jiwati , Maharashtra",19.61064,79.06665,
Rania Subramaniam,59,zqlpy33@gmail.com,9569745940,Chandrapur,Rajura,7,"Rajura , Maharashtra",19.77912,79.36565,
Anahi Arora,49,ssvwa29@gmail.com,3179840969,Chandrapur,Gondpipri,7,"Gondpipri , Maharashtra",19.71447,79.685,
Krish Choudhry,53,acudv50@gmail.com,2585904735,Dhule,Shirpur,5,"Shirpur , Maharashtra",21.3526,74.87985,
Miraan Bahl,28,ewxqf52@gmail.com,9177808940,Dhule,Shindkhed,3,"Shindkhed , Maharashtra",21.24527,77.96064,
Anay Seshadri,58,kpbgl58@gmail.com,9142362481,Dhule,Sakri,6,"Sakri , Maharashtra",20.99352,74.31818,
Eshani Butala,45,czwhl27@gmail.com,8530860586,Dhule,Dhule,9,"Dhule , Maharashtra",20.90287,74.77259,
Aniruddh Guha,50,hsoil35@gmail.com,2914182648,Gadchiroli,Desaiganj (Vadasa),6,"Desaiganj (Vadasa) , Maharashtra",20.62166,79.96312,
Oorja Mangat,56,bhqem41@gmail.com,9148490099,Gadchiroli,Armori,6,"Armori , Maharashtra",20.46804,79.98518,
Ivana Chakrabarti,55,dfycr29@gmail.com,9198958807,Gadchiroli,Kurkheda,2,"Kurkheda , Maharashtra",20.62157,80.20932,
Priyansh Rao,47,gjqrj38@gmail.com,6635833907,Gadchiroli,Korchi,9,"Korchi , Maharashtra",20.8159,80.40746,
Darshit Mahajan,33,zaevp30@gmail.com,7432480075,Gadchiroli,Dhanora,9,"Dhanora , Maharashtra",20.26818,80.30588,
Amira Ram,29,eytsi39@gmail.com,9197541321,Gadchiroli,Gadchiroli,5,"Gadchiroli , Maharashtra",20.18259,80.00617,
Onkar Lata,27,dolhz54@gmail.com,364937208,Gadchiroli,Chamorshi,8,"Chamorshi , Maharashtra",19.93918,79.89107,
Aradhya Jha,33,gsbru39@gmail.com,2020970654,Gadchiroli,Mulchera,8,"Mulchera , Maharashtra",19.68009,80.00357,
Miraya Gara,28,fccpd33@gmail.com,5181533450,Gadchiroli,Etapalli,8,"Etapalli , Maharashtra",19.99167,80.43392,
Charvi Atwal,51,rgrqn60@gmail.com,9163364977,Gadchiroli,Bhamragad,3,"Bhamragad , Maharashtra",19.41402,80.59101,
Aradhya Dutt,52,bmhun47@gmail.com,9171351212,Gadchiroli,Aheri,3,"Aheri , Maharashtra",19.41525,80.00561,
Umang Jha,50,zcsxv39@gmail.com,3145803633,Gadchiroli,Sironcha,9,"Sironcha , Maharashtra",18.84683,79.96407,
Charvi Karpe,54,bztxg26@gmail.com,9114695080,Gondiya,Tirora,4,"Tirora , Maharashtra",21.4102,79.92809,
Nishith Som,47,prfaa57@gmail.com,4358682955,Gondiya,Tirora,2,"Tirora , Maharashtra",21.4102,79.92809,
Riya Dhawan,48,pzfwe51@gmail.com,9133855396,Gondiya,Tirora,9,"Tirora , Maharashtra",21.4102,79.92809,
Badal Jhaveri,27,opwul46@gmail.com,7426833667,Gondiya,Tirora,7,"Tirora , Maharashtra",21.4102,79.92809,
Hiran Kale,55,wczdu51@gmail.com,118865595,Gondiya,Tirora,2,"Tirora , Maharashtra",21.4102,79.92809,
Prerak Chaudhary,55,pegyk52@gmail.com,9177085799,Gondiya,Tirora,8,"Tirora , Maharashtra",21.4102,79.92809,
Lagan Bhattacharyya,57,fpqne50@gmail.com,5294569800,Gondiya,Tirora,2,"Tirora , Maharashtra",21.4102,79.92809,
Indrans Ramanathan,33,vzscq60@gmail.com,9177608321,Gondiya,Tirora,5,"Tirora , Maharashtra",21.4102,79.92809,
Seher Som,32,nzktn51@gmail.com,9115651005,Gondiya,Tirora,3,"Tirora , Maharashtra",21.4102,79.92809,
Miraan Ramesh,54,thxyl50@gmail.com,1673020119,Gondiya,Tirora,2,"Tirora , Maharashtra",21.4102,79.92809,
Ryan Wali,30,jpuod50@gmail.com,9163977803,Gondiya,Tirora,2,"Tirora , Maharashtra",21.4102,79.92809,
Miraya Behl,53,zfuur50@gmail.com,4359502969,Gondiya,Tirora,3,"Tirora , Maharashtra",21.4102,79.92809,
Tiya Sood,59,ewbau56@gmail.com,4697767025,Gondiya,Tirora,2,"Tirora , Maharashtra",21.4102,79.92809,
Aaryahi Choudhry,60,nlcra34@gmail.com,9109771640,Gondiya,Tirora,8,"Tirora , Maharashtra",21.4102,79.92809,
Pranay Sabharwal,51,nkrzt60@gmail.com,9109419445,Gondiya,Tirora,5,"Tirora , Maharashtra",21.4102,79.92809,
Zoya Buch,45,hqark50@gmail.com,9587954836,Gondiya,Tirora,4,"Tirora , Maharashtra",21.4102,79.92809,
Miraan Saha,51,pkwsz51@gmail.com,462513150,Hingoli,Sengaon,9,"Sengaon , Maharashtra",19.86818,76.93002,
Rhea Kalita,54,piehq52@gmail.com,9773223664,Hingoli,Sengaon,5,"Sengaon , Maharashtra",19.86818,76.93002,
Bhavin Bajaj,57,pmzhu30@gmail.com,9153258322,Hingoli,Hingoli,9,"Hingoli , Maharashtra",19.72169,77.15177,
Jayan Devi,32,ghkve32@gmail.com,5827999218,Hingoli,Hingoli,9,"Hingoli , Maharashtra",19.72169,77.15177,
Mamooty Kanda,39,cslmy46@gmail.com,3658001023,Hingoli,Aundha (Nagnath),6,"Aundha (Nagnath) , Maharashtra",19.54356,77.04244,
Zaina Grewal,60,vycvl32@gmail.com,5701022527,Hingoli,Aundha (Nagnath),3,"Aundha (Nagnath) , Maharashtra",19.54356,77.04244,
Faiyaz D’Alia,54,bbtfw27@gmail.com,1837212382,Hingoli,Kalamnuri,3,"Kalamnuri , Maharashtra",19.67593,77.31165,
Nirvi Gulati,43,owzxg35@gmail.com,9129225161,Hingoli,Kalamnuri,3,"Kalamnuri , Maharashtra",19.67593,77.31165,
Oorja Raja,40,dntco29@gmail.com,9319176578,Hingoli,Basmath,8,"Basmath , Maharashtra",19.32566,77.15999,
Uthkarsh Baria,45,krcfi52@gmail.com,5046116300,Hingoli,Basmath,3,"Basmath , Maharashtra",19.32566,77.15999,
Vidur Mallick,30,lmkbe42@gmail.com,9112340575,Jalgaon,Chopda,7,"Chopda , Maharashtra",21.2441,75.29399,
Eva Karpe,48,hskqo52@gmail.com,9133311346,Jalgaon,Yawal,5,"Yawal , Maharashtra",21.17036,75.70106,
Alisha Raj,49,kbzzp59@gmail.com,915750000000,Jalgaon,Raver,8,"Raver , Maharashtra",21.24331,76.03385,
Akarsh Gara,30,dvnkp41@gmail.com,9174757152,Jalgaon,Muktainagar,4,"Muktainagar , Maharashtra",21.02959,76.11857,
Yakshit Kant,32,zhkaz50@gmail.com,9193851944,Jalgaon,Bodvad,8,"Bodvad , Maharashtra",20.88137,75.99225,
Kabir Bajwa,51,jhkww35@gmail.com,6474384309,Jalgaon,Bhusawal,9,"Bhusawal , Maharashtra",21.04854,75.78869,
Miraya Shankar,42,paork48@gmail.com,1334916654,Jalgaon,Jalgaon,6,"Jalgaon , Maharashtra",21.00292,75.56602,
Aarush Saran,27,gedvz32@gmail.com,3477188871,Jalgaon,Erandol,4,"Erandol , Maharashtra",20.92754,75.32563,
Rhea Viswanathan,59,nqtem54@gmail.com,9136831772,Jalgaon,Dharangaon,5,"Dharangaon , Maharashtra",21.0063,75.27534,
Samarth Manne,50,wtapn51@gmail.com,3374868457,Jalgaon,Amalner,5,"Amalner , Maharashtra",21.04209,75.06307,
Siya Bahri,29,atmsg59@gmail.com,9145647003,Jalgaon,Parola,8,"Parola , Maharashtra",20.87561,75.11677,
Gatik Raval,45,ryrnz42@gmail.com,1447629872,Jalgaon,Bhadgaon,9,"Bhadgaon , Maharashtra",20.66414,75.23223,
Purab Barman,38,ctjru30@gmail.com,8759525890,Jalgaon,Chalisgaon,6,"Chalisgaon , Maharashtra",20.46295,75.00532,
Nirvaan Rana,39,kefbm29@gmail.com,8438791725,Jalgaon,Pachora,6,"Pachora , Maharashtra",20.66571,75.34589,
Gatik Dash,60,zjihw27@gmail.com,2234899031,Jalgaon,Jamner,8,"Jamner , Maharashtra",20.8088,75.77886,
Saira Toor,47,pmfbv31@gmail.com,9153055260,Jalna,Bhokardan,7,"Bhokardan , Maharashtra",20.24485,75.76901,
Saanvi Bandi,30,danxo39@gmail.com,8402355566,Jalna,Jafferabad,9,"Jafferabad , Maharashtra",20.1859,76.01554,
Indrans Ray,57,ozzym60@gmail.com,9126029788,Jalna,Jalna,6,"Jalna , Maharashtra",19.84102,75.88636,
Stuvan Mani,59,gezmz53@gmail.com,9109063387,Jalna,Badnapur,2,"Badnapur , Maharashtra",19.86989,75.76109,
Tara Madan,57,sqrmj42@gmail.com,487116238,Jalna,Ambad,6,"Ambad , Maharashtra",19.61596,75.79695,
Ivana Issac,43,mnxhv40@gmail.com,9184190726,Jalna,Ghansawangi,5,"Ghansawangi , Maharashtra",19.52122,75.98533,
Misha Dash,58,ubqys45@gmail.com,4806387312,Jalna,Partur,2,"Partur , Maharashtra",19.59016,76.2127,
Rohan Karnik,55,qjjqi39@gmail.com,9106049177,Jalna,Mantha,7,"Mantha , Maharashtra",19.71936,76.36334,
Myra Bhavsar,57,qfngc40@gmail.com,8080768483,Kolhapur,Shahuwadi,5,"Shahuwadi , Maharashtra",16.88841,73.89494,
Armaan Bandi,46,wztmj50@gmail.com,9150868236,Kolhapur,Panhala,7,"Panhala , Maharashtra",16.81168,74.11185,
Nayantara Bera,60,ssabg29@gmail.com,3381740532,Kolhapur,Hatkanangle,6,"Hatkanangle , Maharashtra",16.75231,74.27733,
Nehmat Bora,33,uxgsi56@gmail.com,9397561783,Kolhapur,Shirol,9,"Shirol , Maharashtra",16.68409,74.58954,
Ishita Doctor,47,zcsuh57@gmail.com,9465215228,Kolhapur,Karvir,2,"Karvir , Maharashtra",16.70542,74.30159,
Anya Hegde,58,zdrtd42@gmail.com,8952849032,Kolhapur,Gaganbavda,7,"Gaganbavda , Maharashtra",16.55092,73.84165,
Suhana Sridhar,31,bpwur27@gmail.com,9188230755,Kolhapur,Radhanagari,7,"Radhanagari , Maharashtra",16.42144,74.04381,
Kaira Hayer,56,jovpa40@gmail.com,4833492661,Kolhapur,Kagal,7,"Kagal , Maharashtra",16.58066,74.31673,
Kashvi Srinivas,54,dmynz45@gmail.com,6530125563,Kolhapur,Bhudargad,3,"Bhudargad , Maharashtra",16.3146,74.14221,
Anika Gaba,31,sqzfe30@gmail.com,8051379889,Kolhapur,Ajra,7,"Ajra , Maharashtra",16.11748,74.20731,
Shalv Raman,58,uvpbp57@gmail.com,9176979463,Kolhapur,Gadhinglaj,3,"Gadhinglaj , Maharashtra",16.22653,74.35217,
Anay Dhillon,55,fulya50@gmail.com,1548278514,Kolhapur,Chandgad,4,"Chandgad , Maharashtra",15.97927,74.35454,
Nitara Ganesh,32,updiw56@gmail.com,9183491979,Latur,Latur,4,"Latur , Maharashtra",18.39721,76.56784,
Ritvik Ganesan,27,gicvv47@gmail.com,2613097495,Latur,Renapur,7,"Renapur , Maharashtra",18.52674,76.59316,
Ahana  Agrawal,42,ecbsj43@gmail.com,8955074947,Latur,Ahmadpur,9,"Ahmadpur , Maharashtra",18.70561,76.93838,
Amani Chana,40,kwvjx26@gmail.com,1672552983,Latur,Jalkot,2,"Jalkot , Maharashtra",18.57766,77.17738,
Mahika Sandhu,53,jmrkt32@gmail.com,9173213850,Latur,Chakur,5,"Chakur , Maharashtra",18.51137,76.84527,
Indrajit Choudhry,41,bxkva40@gmail.com,9126274272,Latur,Shirur-Anantpal,3,"Shirur-Anantpal , Maharashtra",18.34194,76.79819,
Purab Jayaraman,48,ieyvj51@gmail.com,8858630249,Latur,Ausa,4,"Ausa , Maharashtra",18.24436,76.49958,
Zoya Raju,28,smfxv53@gmail.com,1061008256,Latur,Nilanga,6,"Nilanga , Maharashtra",18.12975,76.74882,
Kiaan Chand,58,cnifc48@gmail.com,9104671450,Latur,Deoni,4,"Deoni , Maharashtra",18.24843,77.04604,
Onkar Bora,30,aeblg35@gmail.com,3346180327,Latur,Udgir,7,"Udgir , Maharashtra",18.39258,77.11756,
Adira Dani,53,qnvyi59@gmail.com,9124881503,Nagpur,Narkhed,6,"Narkhed , Maharashtra",21.46908,78.52944,
Aaryahi Sarin,26,efrnn31@gmail.com,7181600431,Nagpur,Katol,8,"Katol , Maharashtra",21.2759,78.58681,
Ranbir Dass,57,jpcol57@gmail.com,9161673384,Nagpur,Kalameshwar,4,"Kalameshwar , Maharashtra",21.23453,78.91183,
Riaan Grover,45,fcqde30@gmail.com,4516643595,Nagpur,Savner,7,"Savner , Maharashtra",21.38685,78.92143,
Arnav Ratta,50,deixl28@gmail.com,6287657042,Nagpur,Parseoni,3,"Parseoni , Maharashtra",21.37164,79.1494,
Kavya Bhat,53,bgjvw32@gmail.com,9106847928,Nagpur,Ramtek,4,"Ramtek , Maharashtra",21.39508,79.31719,
Vedika Bose,27,dewmc26@gmail.com,9152637283,Nagpur,Mauda,8,"Mauda , Maharashtra",21.14734,79.40448,
Vanya Bhagat,34,iofsk34@gmail.com,9134757235,Nagpur,Kamptee,7,"Kamptee , Maharashtra",21.21241,79.19715,
Parinaaz Kapadia,50,tuqsu39@gmail.com,6068197420,Nagpur,Nagpur (Rural),7,"Nagpur (Rural) , Maharashtra",21.157081,79.073035,
Siya Sane,58,voeae54@gmail.com,1740268664,Nagpur,Nagpur (Urban),3,"Nagpur (Urban) , Maharashtra",21.15706,79.08213,
Sara Sama,33,utlcw58@gmail.com,964682746,Nagpur,Hingna,5,"Hingna , Maharashtra",21.07322,78.96109,
Tushar Vohra,42,zzovo27@gmail.com,9170099859,Nagpur,Umred,9,"Umred , Maharashtra",20.84891,79.32685,
Indrajit Rana,39,cdbaw48@gmail.com,288590708,Nagpur,Kuhi,6,"Kuhi , Maharashtra",21.01405,79.36118,
Taimur Gera,28,owgvq53@gmail.com,9649376682,Nagpur,Bhiwapur,2,"Bhiwapur , Maharashtra",20.78654,79.47958,
Eshani Ben,47,ylbmj52@gmail.com,2804150460,Nanded,Mahoor,5,"Mahoor , Maharashtra",19.84855,78.00253,
Lavanya Chakrabarti,48,uvwqe54@gmail.com,8908950227,Nanded,Kinwat,5,"Kinwat , Maharashtra",19.62308,78.20047,
Kiaan Bala,31,kggia51@gmail.com,1964911100,Nanded,Himayatnagar,6,"Himayatnagar , Maharashtra",19.407,77.84999,
Yuvraj  Bandi,45,grczs48@gmail.com,9152339236,Nanded,Hadgaon,3,"Hadgaon , Maharashtra",19.49871,77.65544,
Aaina Varma,55,dpvpt40@gmail.com,4113584688,Nanded,Ardhapur,3,"Ardhapur , Maharashtra",19.28518,77.37885,
